Service name,City,Unnamed: 2,Counselling,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Clean_Service_Name,Core_Name
The Ottawa Mission,,1.0,,,,,,,the ottawa mission,ottawa mission
Thunder Bay Addiction Centres,,1.0,,,,,,,thunder bay addiction centres,thunder bay centres
Thunder Bay Counselling,,1.0,,,,,,,thunder bay counselling,thunder bay counselling
Timmins Native Friendship Centre,,1.0,,,,,,,timmins native friendship centre,timmins native friendship
Towards Recovery Clinic,Barrie,1.0,,,,,,,towards recovery clinic,towards recovery
Towards Recovery Clinic,Brantford,1.0,,,,,,,towards recovery clinic,towards recovery
Trillium Health Partners,Toronto,1.0,,,,,,,trillium health partners,trillium partners
trueNorth Addiction Treatment,Toronto,1.0,,,,,,,truenorth addiction treatment,truenorth
TrueNorth Medical Centre,"Cambridge, Ontario",1.0,,,,,,,truenorth medical centre,truenorth medical
TrueNorth Medical Centre,Guelph,1.0,,,,,,,truenorth medical centre,truenorth medical
Turning Point,Brantford,1.0,,,,,,,turning point,turning point
"University Health Network, Toronto General Hospital",,1.0,,,,,,,university health network toronto general hospital,university network toronto general hospital
Viscount Pharmacy,"London, Ontario",,,,,,,,viscount pharmacy,viscount pharmacy
Vitanova Foundation,Vaughan,1.0,,,,,,,vitanova foundation,vitanova foundation
Wayside House of Hamilton,,1.0,,,,,,,wayside house of hamilton,wayside house of hamilton
Wellington Guelph Drug Strategy,Guelph,1.0,,,,,,,wellington guelph drug strategy,wellington guelph drug strategy
Wellington-Dufferin-Guelph Public Health,Guelph,1.0,,,,,,,wellington,wellington
Wesley,,1.0,,,,,,,wesley,wesley
Westover Treatment Centre,Thamesvile,1.0,,,,,,,westover treatment centre,westover
William Osler Health System,Brampton,1.0,,,,,,,william osler health system,william osler system
Windsor Essex Community Health Centre,,1.0,,,,,,,windsor essex community health centre,windsor essex
Windsor Family Health Team,,1.0,,,,,,,windsor family health team,windsor team
Windsor Life Centre,,1.0,,,,,,,windsor life centre,windsor life
Women's College Hospital,,1.0,,,,,,,women s college hospital,women s college hospital
Youth Diversion,"Kingston, Ontario",1.0,,,,,,,youth diversion,youth diversion
nan,,,,,,,,,nan,nan
nan,,201.0,,,,,,,nan,nan
